chunk_id,question
cc-753,Comment se déroule le partage des biens si un héritier est représenté par ses enfants ?
cc-753,Qu'est-ce que cela signifie de partager les biens par souche dans une succession ?
cc-754,Que se passe-t-il si un héritier renonce à sa part dans la succession ?
cc-754,Les enfants d'un héritier qui a renoncé peuvent-ils hériter à sa place ?
cc-755,Que se passe-t-il pour les enfants d'une personne exclue de la succession ?
cc-755,Les petits-enfants peuvent-ils hériter même si leur parent est indigne ?
cc-756,Est-ce que le conjoint du défunt a droit à une part de l'héritage ?
cc-756,Le conjoint peut-il hériter seul ou doit-il partager avec d'autres membres de la famille ?
cc-757,Que peut hériter le conjoint survivant s'il y a des enfants issus des deux époux ?
cc-757,Quels droits a le conjoint survivant en présence d'enfants d'un autre partenaire ?
cc-759,Qu'est-ce que l'usufruit et comment cela affecte-t-il les biens d'un héritier ?
cc-759,Un conjoint peut-il transformer son usufruit en une rente pour le reste de sa vie ?
cc-760,Que se passe-t-il si les héritiers ne s'accordent pas sur la conversion de l'usufruit ?
cc-760,Est-ce que le juge peut forcer la conversion de l'usufruit si le conjoint est contre ?
cc-761,Comment peut-on transformer l'usufruit d'un conjoint en argent lors d'une succession ?
cc-761,Est-il possible pour les héritiers de discuter de l'usufruit avec le conjoint pour le convertir en capital ?
cc-762,Qu'est-ce que signifie convertir l'usufruit lors du partage de la succession ?
cc-762,Est-ce que la conversion de l'usufruit a des effets sur le passé dans une succession ?
cc-763,Qu'est-ce qui arrive au conjoint qui vivait avec le défunt après son décès ?
cc-763,Le conjoint peut-il rester dans le logement du défunt sans payer pendant un certain temps ?
cc-764,Quelles sont les protections pour le conjoint qui vivait dans le logement au moment du décès ?
cc-764,Que se passe-t-il si le logement n'est plus adapté aux besoins du conjoint survivant ?
cc-765,Comment la valeur des droits d'habitation affecte-t-elle les parts d'héritage d'un conjoint ?
cc-765,Que se passe-t-il si les droits d'habitation sont plus élevés que les droits d'héritage du conjoint ?
cc-766,Est-il possible de transformer un droit d'habitation en argent pour les héritiers ?
cc-766,Quelles sont les conditions pour qu'un mineur participe à un accord sur les droits d'habitation ?
cc-738-1,Que se passe-t-il si un parent est le seul survivant et qu'il n'y a pas d'enfants ni de frères et sœurs ?
cc-738-1,Comment la succession est-elle répartie entre un parent survivant et les autres membres de la famille ?
cc-738-2,Que se passe-t-il si mes grands-parents ont donné des biens au défunt ?
cc-738-2,Les parents du défunt peuvent-ils récupérer des biens qu'ils lui ont donnés ?
cc-752-1,Est-ce que mes grands-parents peuvent hériter à la place de mes parents dans une succession ?
cc-752-1,"Si un héritier proche existe, les héritiers plus éloignés peuvent-ils toujours prétendre à la succession ?"
cc-752-2,Comment les enfants de mes oncles et tantes peuvent-ils hériter de mon grand-parent ?
cc-752-2,Que se passe-t-il si tous les frères et sœurs du défunt sont décédés ?
cc-757-1,Que reçoit le conjoint si le défunt n'a pas d'enfants mais a des parents vivants ?
cc-757-1,Comment se partage l'héritage entre le conjoint et les parents du défunt en l'absence d'enfants ?
cc-757-2,Que va hériter le conjoint s'il n'y a pas d'enfants dans la famille ?
cc-757-2,"Si les parents du défunt ne sont plus là, qui hérite de tout ?"
cc-757-3,Que deviennent les biens reçus par héritage si le défunt n'a pas d'enfants ?
cc-757-3,"Si mes grands-parents sont décédés, qui hérite de leurs biens dans la succession ?"
cc-758-1,Est-ce que le conjoint peut vendre ses droits sur la succession avant de faire un choix ?
cc-758-1,Les droits du conjoint sur la succession sont-ils transférables à quelqu'un d'autre avant qu'il décide ?
cc-758-2,Comment un conjoint peut-il choisir entre usufruit et pleine propriété dans une succession ?
cc-758-2,Quels sont les moyens pour un conjoint de prouver son choix dans une succession ?
cc-758-3,Qu'est-ce que cela signifie si un conjoint ne répond pas à l'invitation des héritiers dans les trois mois ?
cc-758-3,Comment un héritier peut-il demander au conjoint de faire un choix concernant la succession ?
cc-758-4,Que se passe-t-il si le conjoint décède sans avoir fait de choix concernant ses biens ?
cc-758-4,L'usufruit est-il automatiquement attribué au conjoint en cas de décès sans décision préalable ?
cc-758-5,Comment se calcule la part du conjoint survivant dans une succession ?
cc-758-5,Quelles sont les conditions pour que le conjoint puisse revendiquer des biens hérités ?
cc-758-6,Quelles sont les conséquences des dons reçus par le conjoint sur son héritage ?
cc-758-6,Le conjoint survivant peut-il demander plus que sa part dans la succession si les dons sont insuffisants ?
cc-759-1,Est-ce que je peux renoncer à ma part d'usufruit dans la succession ?
cc-759-1,Les décisions du défunt peuvent-elles m'empêcher d'avoir des droits sur l'usufruit ?
cc-765-1,Combien de temps après le décès le conjoint peut-il décider d'utiliser son droit au logement ?
cc-765-1,Quelles sont les conditions pour qu'un conjoint puisse bénéficier d'un droit d'habitation après un décès ?
cc-765-2,Quelles sont les droits d'un conjoint qui vivait dans un logement à louer après le décès ?
cc-765-2,Est-ce qu'un conjoint peut utiliser les meubles de la maison après la mort de son partenaire ?
cc-768,Quelles sont les options disponibles pour un héritier face à une succession ?
cc-768,Est-il possible d'accepter une succession sous certaines conditions ?
cc-769,"Si je suis héritier de plusieurs personnes, puis-je choisir pour chaque succession séparément ?"
cc-769,Est-ce que mon choix d'hériter peut changer si je reçois des héritages de différentes personnes ?
cc-770,Puis-je décider de prendre ou de refuser l'héritage avant que la succession s'ouvre ?
cc-770,Est-il possible de faire un choix sur l'héritage avant le décès de la personne concernée ?
cc-772,Que dois-je faire si je ne peux pas terminer l'inventaire dans les deux mois après la sommation ?
cc-772,Quels sont mes choix si je n'ai pas encore décidé de l'héritage après deux mois ?
cc-771,Combien de temps un héritier a-t-il pour décider s'il accepte ou refuse la succession ?
cc-771,Que se passe-t-il si un héritier ne prend pas de décision après quatre mois ?
cc-773,Que se passe-t-il si je ne fais pas de demande formelle pour accepter l'héritage ?
cc-773,Puis-je décider de prendre mon temps avant d'accepter l'héritage sans conséquences ?
cc-774,Que se passe-t-il si l'héritier principal refuse l'héritage ?
cc-774,Quel est le délai pour agir si je suis un héritier secondaire après une renonciation ?
cc-775,Que se passe-t-il si le défunt n'a pas fait de choix concernant sa succession ?
cc-775,Comment les héritiers peuvent-ils exercer leurs droits si le défunt n'a pas opté ?
cc-776,Quel est le moment où l'on peut décider d'accepter ou de refuser une succession ?
cc-776,Est-ce que ma décision sur l'héritage a des conséquences rétroactives ?
cc-777,Que se passe-t-il si je découvre une erreur dans la succession après avoir accepté l'héritage ?
cc-777,Combien de temps ai-je pour contester une décision prise lors de la succession en cas de mauvaise foi ?
cc-779,Que se passe-t-il si je refuse d'accepter un héritage et que des dettes existent ?
cc-779,Les créanciers peuvent-ils prendre ma place pour accepter une succession que je ne veux pas ?
cc-780,Combien de temps un héritier a-t-il pour décider d'accepter ou de refuser une succession ?
cc-780,Que se passe-t-il si un héritier ne prend pas de décision dans le délai imparti ?
cc-781,Que dois-je prouver pour être reconnu comme héritier après un certain délai ?
cc-781,Est-ce que je dois avoir accepté la succession avant une date limite pour en bénéficier ?
cc-782,Comment un héritier peut-il montrer qu'il accepte la succession de manière claire ?
cc-782,Qu'est-ce que l'acceptation tacite d'une succession et comment se manifeste-t-elle ?
cc-783,"Si je renonce à une partie de l'héritage pour aider mes cousins, cela compte comme une acceptation ?"
cc-783,Est-ce que vendre ma part de l'héritage signifie que j'accepte automatiquement toute la succession ?
cc-785,Quelles sont les responsabilités financières d'un héritier qui accepte la succession sans conditions ?
cc-785,Un héritier doit-il payer des dettes si la succession ne couvre pas les legs d'argent ?
cc-786,Puis-je changer d'avis après avoir accepté la succession de ma grand-mère ?
cc-786,Que faire si je découvre une dette après avoir accepté l'héritage ?
cc-787,Est-ce que je peux accepter l'héritage seulement si les biens sont supérieurs aux dettes ?
cc-787,Puis-je choisir d'hériter uniquement des biens et pas des dettes de la succession ?
cc-789,Comment puis-je savoir ce que contient la succession à laquelle j'hérite ?
cc-789,Qui est responsable de dresser la liste des biens et dettes de la succession ?
cc-790,Combien de temps a un héritier pour déposer l'inventaire après avoir déclaré la succession ?
cc-790,Que se passe-t-il si l'héritier ne dépose pas l'inventaire dans le délai imparti ?
cc-791,Quels sont les avantages d'accepter une succession sans mélanger mes biens personnels ?
cc-791,"Si j'accepte l'héritage, suis-je responsable des dettes au-delà de ce que j'ai reçu ?"
cc-792,Comment les créanciers peuvent-ils réclamer ce qui leur est dû dans le cadre d'une succession ?
cc-792,Que se passe-t-il si un créancier ne se manifeste pas dans les quinze mois suivant la succession ?
cc-793,Puis-je choisir de garder certains biens de la succession sans accepter tout le reste ?
cc-793,"Si je garde des biens, dois-je en déclarer la valeur lors de l'inventaire ?"
cc-795,Que se passe-t-il si je déclare vouloir garder un bien sans le publier ?
cc-795,Quels sont les risques si je ne déclare pas la vente d'un bien hérité dans les délais ?
cc-796,Comment dois-je gérer les dettes de la succession avant de recevoir mon héritage ?
cc-796,Dans quel ordre vais-je payer les créanciers de la succession ?
cc-797,Que dois-je faire si je ne peux pas payer les créanciers de la succession dans les deux mois ?
cc-797,Quels sont mes droits si des créances sont contestées après l'acceptation de l'héritage ?
cc-798,Quelles sont les obligations des héritiers envers les créanciers de la succession ?
cc-798,Est-ce que mes dettes personnelles peuvent toucher les biens hérités ?
cc-799,Que se passe-t-il si les créanciers se manifestent après que les biens de la succession sont épuisés ?
cc-799,Les héritiers doivent-ils payer les dettes de la succession s'ils n'ont pas accepté tous les biens ?
cc-800,Quelles sont mes responsabilités en tant qu'héritier concernant la gestion des biens reçus ?
cc-800,Que risque un héritier s'il ne fait pas un inventaire complet des biens de la succession ?
cc-801,Puis-je changer ma décision d'accepter l'héritage en fonction de ce que je découvre sur les biens ?
cc-801,"Si j'accepte l'héritage, est-ce que cela m'empêche de renoncer à la succession plus tard ?"
cc-802,Que se passe-t-il si j'accepte une succession mais que je change d'avis plus tard ?
cc-802,Les créanciers peuvent-ils toujours réclamer de l'argent même si j'accepte la succession partiellement ?
cc-803,Qui paie les coûts liés aux scellés et à l'inventaire lors d'une succession ?
cc-803,Les frais liés à la succession sont-ils déduits de l'héritage des bénéficiaires ?
cc-805,Que se passe-t-il si je décide de renoncer à l'héritage de mon grand-parent ?
cc-805,"Si je renonce à ma part, qui reçoit cet héritage à ma place ?"
cc-806,"Si je renonce à l'héritage, dois-je payer les dettes de la succession ?"
cc-806,Suis-je obligé de couvrir les frais des funérailles si je refuse l'héritage ?
cc-807,Puis-je changer d'avis et accepter l'héritage après avoir dit que je ne le voulais pas ?
cc-807,"Si j'abandonne la succession, puis-je revenir sur ma décision plus tard ?"
cc-808,"Si j'engage des frais avant de renoncer à l'héritage, qui doit les payer ?"
cc-808,Est-ce que les dépenses que j'ai faites avant de dire non à l'héritage seront remboursées ?
cc-809,Que se passe-t-il si personne ne réclame la succession après le décès d'un proche ?
cc-809,Quels sont les cas où la succession est considérée comme vacante ?
cc-810,Que fait un curateur lorsqu'il est désigné pour gérer une succession ?
cc-810,Comment le curateur s'occupe-t-il des biens d'une succession vacante ?
cc-811,Que se passe-t-il si une personne décède sans laisser d'héritiers connus ?
cc-811,Comment l'État peut-il revendiquer une succession abandonnée ?
cc-812,Est-ce que je peux désigner quelqu'un pour gérer la succession après le décès de mon grand-parent ?
cc-812,Un héritier peut-il être choisi pour administrer la succession de son parent décédé ?
cc-813,Puis-je demander à un membre de ma famille de gérer la succession pour nous tous ?
cc-813,Que se passe-t-il si un héritier a accepté une part de la succession ?
cc-814,Que se passe-t-il si un héritier accepte la succession ?
cc-814,Qu'est-ce qu'un mandataire successoral et quel est son rôle dans la succession ?
cc-792-1,Que se passe-t-il pour les créanciers après que j'ai accepté la succession ?
cc-792-1,Puis-je être poursuivi par les créanciers si j'accepte la succession avec des dettes ?
cc-792-2,Que se passe-t-il si certains héritiers acceptent la succession sans conditions et d'autres avec des limites ?
cc-792-2,Les créanciers peuvent-ils demander le partage de la succession si des héritiers ont des options différentes ?
cc-809-2,Comment le curateur procède-t-il pour évaluer les biens et les dettes dans une succession abandonnée ?
cc-809-2,Qui a le droit de consulter l'inventaire des biens d'une succession après sa création ?
cc-809-3,À qui dois-je m'adresser pour déclarer les dettes de la succession ?
cc-809-3,Comment puis-je informer le curateur des créances liées à la succession ?
cc-810-1,Quelles actions le curateur peut-il entreprendre au début d'une succession ?
cc-810-1,Combien de temps le curateur doit-il attendre avant de prendre des décisions importantes sur la succession ?
cc-810-4,Qui décide des paiements des dettes de la succession lorsque personne ne s'en occupe ?
cc-810-4,Quelles dépenses peuvent être réglées immédiatement par le curateur dans une succession ?
cc-810-5,Comment le curateur organise-t-il le remboursement des dettes d'une succession ?
cc-810-5,Que peuvent faire les créanciers s'ils ne sont pas satisfaits du projet de règlement proposé ?
cc-810-6,Quelles sont les limites des pouvoirs d'un curateur dans une succession ?
cc-810-6,Comment un curateur peut-il agir si la personne est sous protection judiciaire ?
cc-810-7,Comment un héritier peut-il consulter les comptes du curateur concernant la succession ?
cc-810-7,Quelles sont les démarches pour qu'un créancier puisse demander des informations au curateur sur la succession ?
cc-810-8,Que se passe-t-il si je ne réagis pas dans les trois mois après la notification du projet de réalisation ?
cc-810-8,Comment puis-je m'opposer à la vente des biens de la succession si je suis un héritier connu ?
cc-810-9,"Si des créanciers se manifestent après la fin de la succession, que peuvent-ils récupérer ?"
cc-810-9,Que se passe-t-il si l'actif de la succession est insuffisant pour payer les créanciers ?
cc-810-10,Que se passe-t-il avec l'argent restant de la succession si je me manifeste dans les délais ?
cc-810-10,Comment puis-je récupérer ma part de l'héritage si je me présente à temps ?
cc-810-12,Quand la gestion de la succession se termine-t-elle pour les héritiers ?
cc-810-12,Comment savoir si les biens de la succession ont été totalement réglés ?
cc-811-1,Que se passe-t-il si un inventaire de la succession n'a pas été réalisé ?
cc-811-1,Qui s'occupe de faire l'inventaire si personne ne l'a fait ?
cc-811-2,Que se passe-t-il si un héritier accepte la succession laissée par le défunt ?
cc-811-2,Comment la situation d'une succession en déshérence peut-elle changer pour les héritiers ?
cc-811-3,Que se passe-t-il si l'État ne suit pas les règles concernant une succession ?
cc-811-3,Les héritiers peuvent-ils obtenir une compensation si l'État ne fait pas son travail dans une succession ?
cc-812-1,Est-ce que le mandataire peut agir même si l'un des héritiers est un enfant ou une personne protégée ?
cc-812-1,Un héritier mineur ou sous protection peut-il empêcher le mandataire de gérer la succession ?
cc-812-1-1,Quelles sont les raisons valables pour établir un mandat après le décès d'un héritier ?
cc-812-1-1,Quelle est la durée maximale d'un mandat posthume et peut-elle être prolongée ?
cc-812-1-2,Est-ce que les actions du mandataire influencent le choix d'accepter ou de refuser l'héritage ?
cc-812-1-2,Les décisions prises par le mandataire peuvent-elles changer ce que je vais hériter ?
cc-812-1-3,Que peut faire le mandataire si les héritiers n'ont pas encore accepté la succession ?
cc-812-1-3,Quels pouvoirs le mandataire a-t-il avant l'acceptation de la succession par les héritiers ?
cc-812-1-4,Qu'est-ce qu'un mandat à effet posthume et comment fonctionne-t-il dans le cadre d'une succession ?
cc-812-1-4,Quels sont les principes de base à connaître sur la gestion d'une succession par un mandataire après le décès ?
cc-812-3,Comment peut-on contester le montant que le mandataire demande pour gérer la succession ?
cc-812-3,Que se passe-t-il si la rémunération du mandataire réduit ma part d'héritage ?
cc-812-4,Quelles sont les raisons pour lesquelles un mandat de succession peut se terminer ?
cc-812-4,Que se passe-t-il si un mandataire ne remplit pas correctement sa mission ?
cc-812-5,Que se passe-t-il si le mandataire n'a pas bien rempli sa mission ?
cc-812-5,Est-ce que le mandataire doit rendre de l'argent s'il est révoqué pour mauvaise gestion ?
cc-812-6,Comment un mandataire peut-il mettre fin à son rôle après le décès d'un proche ?
cc-812-6,Quels sont les délais à respecter si un mandataire souhaite renoncer à sa mission ?
cc-812-7,Comment le mandataire doit-il informer les héritiers de sa gestion chaque année ?
cc-812-7,Que se passe-t-il si le mandataire ne rend pas compte de sa gestion ?
cc-813-1,Que se passe-t-il si les héritiers ne s'entendent pas sur la gestion de la succession ?
cc-813-1,Qui peut demander la nomination d'un mandataire pour gérer la succession en cas de conflit entre héritiers ?
cc-813-2,Qu'est-ce qu'un mandataire successoral et quel est son rôle lors d'une succession ?
cc-813-2,Comment un mandataire successoral prend-il des décisions en lien avec la succession ?
cc-813-3,Comment savoir si un mandataire a été officiellement désigné pour gérer la succession ?
cc-813-3,Où puis-je trouver l'information sur la nomination du mandataire successoral ?
cc-813-4,Que peut faire un mandataire successoral avant que tous les héritiers acceptent la succession ?
cc-813-4,Est-ce qu'un juge peut permettre au mandataire de réaliser d'autres actions pour la succession ?
cc-813-5,Qui représente tous les héritiers lors des démarches légales liées à la succession ?
cc-813-5,Est-ce que le mandataire successoral peut agir même s'il y a des héritiers protégés ?
cc-813-6,Est-ce que les décisions prises par le mandataire affectent le choix que je peux faire en tant qu'héritier ?
cc-813-6,Puis-je changer d'avis sur ma part d'héritage si le mandataire fait quelque chose ?
cc-813-7,Que se passe-t-il si le mandataire de la succession ne respecte pas ses obligations ?
cc-813-7,Comment peut-on changer le mandataire successoral si des problèmes surviennent ?
cc-813-8,Puis-je demander à voir les documents du mandataire qui s'occupe de la succession ?
cc-813-8,Est-ce que je reçois un rapport annuel sur le travail du mandataire de la succession ?
cc-813-9,Comment sait-on combien de temps le mandataire successoral va gérer la succession ?
cc-813-9,Quelles sont les raisons pour lesquelles le mandataire successoral peut terminer sa mission ?
cc-814-1,Puis-je demander à un juge de choisir quelqu'un pour gérer la succession de mon grand-parent ?
cc-814-1,Est-il possible de nommer une personne pour m'aider à gérer l'héritage que j'ai accepté ?
cc-815,Est-ce que je peux demander le partage de l'héritage si je ne suis pas d'accord avec les autres héritiers ?
cc-815,Peut-on sortir de l'indivision si l'on souhaite gérer les biens de manière séparée ?
cc-815-1,Est-ce que les héritiers peuvent se mettre d'accord sur la gestion de l'héritage ?
cc-815-1,Les héritiers ont-ils le droit de signer des accords concernant leurs parts dans la succession ?
cc-815-2,Est-ce que je peux prendre soin des biens hérités même si ce n'est pas urgent ?
cc-815-2,Comment puis-je gérer les frais pour entretenir les biens de la succession avec mes cousins ?
cc-815-3,Quelles décisions peuvent être prises par une majorité des héritiers concernant les biens qu'ils partagent ?
cc-815-3,Que se passe-t-il si un héritier gère les biens sans l'accord des autres ?
cc-815-4,Que faire si un héritier ne peut pas exprimer son avis pendant la succession ?
cc-815-4,Comment un héritier peut-il représenter un autre héritier qui ne peut pas agir ?
cc-815-7,Est-ce que le tribunal peut empêcher de déplacer certains meubles pendant la succession ?
cc-815-7,Comment le tribunal décide-t-il qui peut utiliser certains biens hérités ?
cc-815-8,Comment dois-je gérer les revenus ou les dépenses liés à la succession avec les autres héritiers ?
cc-815-8,Est-ce que je dois informer les autres héritiers des revenus ou des dépenses que je gère pour la succession ?
cc-815-9,Comment puis-je utiliser les biens que nous avons hérités ensemble sans avoir de conflits avec les autres héritiers ?
cc-815-9,Que se passe-t-il si je veux profiter d'un bien hérité sans l'accord des autres héritiers ?
cc-815-10,Quels types de biens sont considérés comme indivis entre héritiers ?
cc-815-10,Comment sont répartis les bénéfices et les pertes entre les héritiers en indivision ?
cc-815-12,"Si je gère un bien hérité, dois-je rendre des comptes sur ce que je fais avec ?"
cc-815-12,Puis-je être payé pour le temps que je passe à gérer les biens de la succession ?
cc-815-14,Que dois-je faire si je veux vendre ma part d'héritage à quelqu'un en dehors de la famille ?
cc-815-14,Comment mes autres héritiers peuvent-ils réagir si je souhaite vendre ma part de biens communs ?
cc-815-15,Comment puis-je être informé si une partie de la succession va être vendue ?
cc-815-15,Puis-je racheter ma part de la succession après une vente aux enchères ?
cc-815-16,Que se passe-t-il si une vente de biens de la succession ne respecte pas les règles établies ?
cc-815-16,Combien de temps as-tu pour contester une vente illégale des biens hérités ?
cc-815-17,Comment les dettes des créanciers sont-elles réglées dans une succession indivise ?
cc-815-17,Qu'est-ce qui se passe si un héritier a des créances personnelles dans une succession ?
cc-815-18,Comment un usufruitier peut-il devenir propriétaire d'une part de la succession ?
cc-815-18,Quelles sont les conditions pour qu'un nu-propriétaire achète une part d'usufruit ?
cc-816,Est-ce qu'un héritier peut demander le partage même s'il a utilisé certains biens seuls ?
cc-816,Que se passe-t-il si aucun acte de partage n'a été fait entre les héritiers ?
cc-817,Comment un héritier peut-il demander le partage des droits sur un bien hérité ?
cc-817,Que faire si le partage de l'usufruit ne peut pas se faire directement ?
cc-822,Qui peut demander à maintenir la succession si des enfants mineurs sont présents ?
cc-822,Est-ce que le conjoint survivant peut demander à garder la succession sans enfants mineurs ?
cc-823,Combien de temps peut-on rester en indivision sans faire de partage ?
cc-823,Est-il possible de prolonger la durée de l'indivision dans certaines situations ?
cc-824,Que se passe-t-il si un héritier veut un partage tout en restant en indivision ?
cc-824,Comment sont répartis les coûts si un héritier demande un partage et qu'il n'y a pas assez d'argent ?
cc-825,Quels biens sont inclus dans l'héritage que je dois partager avec les autres héritiers ?
cc-825,Comment sont prises en compte les dettes du défunt dans le partage de la succession ?
cc-826,Comment s'assure-t-on que chaque héritier reçoit une valeur équivalente lors du partage des biens ?
cc-826,Que se passe-t-il si les biens à partager n'ont pas tous la même valeur ?
cc-827,Comment se fait le partage des biens entre les héritiers dans une succession ?
cc-827,Qu'est-ce que signifie le partage par souche dans le cadre d'une succession ?
cc-828,Que se passe-t-il si la valeur des biens reçus change après le partage ?
cc-828,Comment les délais de paiement influencent-ils les sommes à rembourser dans une succession ?
cc-829,Comment sont évalués les biens lors du partage d'une succession ?
cc-829,Peut-on choisir une date antérieure pour estimer les biens d'une succession ?
cc-830,Comment éviter de perdre de la valeur en partageant les biens d'une succession ?
cc-830,Pourquoi est-il important de ne pas diviser certains biens lors du partage de l'héritage ?
cc-831,Est-ce que je peux demander à garder l'entreprise familiale après le décès de mon grand-parent ?
cc-831,Quelles conditions dois-je remplir pour obtenir une part de l'entreprise de mon grand-parent décédé ?
cc-832-3,Comment puis-je garder un bien familial avec d'autres héritiers si nous sommes d'accord ?
cc-832-3,Que se passe-t-il si plusieurs héritiers veulent le même bien et qu'aucun accord n'est trouvé ?
cc-832-4,Comment est déterminée la valeur des biens lors du partage de la succession ?
cc-832-4,Que se passe-t-il si un héritier ne peut pas payer sa part immédiatement ?
cc-833,Qui peut bénéficier des règles concernant le partage des biens lors d'une succession ?
cc-833,Est-ce que les héritiers désignés par testament ont des droits spécifiques sur la succession ?
